# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
ao yun hui 	奧運會	c=2 d=3.05524e-06 t=12715
ba 	吧	c=15 d=5.11115e-08 t=12715
ba 	把	c=55 d=4.95009 t=12715
ba ma 	爸媽	c=1 d=0.218712 t=12715
ba xi 	巴西	c=1 d=1.53037e-06 t=12715
bai du 	百度	c=7 d=0.0354356 t=12715
bai du yun 	百度雲	c=1 d=0.0338776 t=12715
bai fen bi 	百分比	c=1 d=0.000139145 t=12715
bai fu mei 	白富美	c=1 d=4.2141e-11 t=12715
bai huo shang dian 	百貨商店	c=1 d=3.02858e-07 t=12715
bai nian 	百年	c=1 d=0.00527382 t=12715
bai tian 	白天	c=1 d=1 t=11619
bai zhi 	白紙	c=1 d=4.67905e-07 t=12715
ban 	半	c=1 d=1 t=12156
ban 	版	c=1 d=0.737123 t=12715
ban 	班	c=1 d=3.98723e-07 t=12715
ban 	般	c=2 d=3.96758e-07 t=12715
ban 	辦	c=2 d=0.0114278 t=12715
ban ban 	搬搬	c=1 d=2.62747e-12 t=12715
ban ben 	版本	c=1 d=0.0327124 t=12715
ban dian 	半點	c=1 d=2.04524e-06 t=12715
ban dian ban 	辦點半	c=1 d=1 t=12154
ban duan 	半段	c=1 d=1 t=9157
ban fa 	辦法	c=7 d=1.01199 t=12715
ban li 	辦理	c=6 d=7.13439e-07 t=12715
ban nian 	半年	c=2 d=3.8408e-08 t=12715
ban shen 	半身	c=1 d=0.00109719 t=12715
ban wan 	辦完	c=1 d=1.87857e-06 t=12715
bang 	幫	c=1 d=3.91027e-13 t=12715
bang 	鎊	c=7 d=0.856415 t=12715
bang ding 	綁定	c=2 d=1.28772e-05 t=12715
bang ni 	幫你	c=10 d=0.000687091 t=12715
bang wo 	幫我	c=2 d=0.83527 t=12715
bang zhu 	幫助	c=2 d=0.123954 t=12715
bao 	包	c=1 d=1 t=9489
bao chi 	保持	c=5 d=0.0142784 t=12715
bao cun 	保存	c=3 d=2.71292 t=9936
bao han 	包含	c=6 d=0.474787 t=12715
bao han jin lai 	包含進來	c=1 d=0.313486 t=12715
bao kuo 	包括	c=2 d=0.000404755 t=12715
bao yang 	保養	c=1 d=0.000189712 t=12715
bao zheng 	保證	c=3 d=1.70482 t=11109
bei 	北	c=1 d=5.35808e-13 t=12715
bei 	背	c=3 d=0.00538036 t=12715
bei 	被	c=11 d=1.04015 t=12715
bei ai er lan 	北愛爾蘭	c=0 d=0.0017163 t=12715
bei bao 	背包	c=3 d=8.21351e-11 t=12715
bei fen 	備份	c=1 d=0.000177773 t=12715
bei jing 	北京	c=1 d=0.244143 t=12715
bei jing 	背景	c=3 d=0.249766 t=12715
bei ren 	被人	c=1 d=1 t=11379
bei zhu 	備註	c=1 d=1 t=10109
bei zi li 	被子裏	c=1 d=1 t=9251
ben lai 	本來	c=3 d=1.00713 t=11389
ben shen 	本身	c=8 d=0.230282 t=12715
ben shu 	本書	c=2 d=0.0173229 t=12715
ben ye 	本頁	c=1 d=0.00191124 t=12715
bi 	比	c=4 d=0.980199 t=12715
bi bu guo 	比不過	c=1 d=4.2874e-08 t=12715
bi ding 	必定	c=2 d=1.66034 t=11133
bi hua 	筆畫	c=2 d=0.00315111 t=12715
bi ji 	筆記	c=1 d=0.157237 t=12715
bi ji ben 	筆記本	c=2 d=1.00583 t=10531
bi jiao 	比較	c=5 d=0.00918669 t=12715
bi jiao xiao 	比較小	c=1 d=1.08439e-12 t=12715
bi jing 	畢竟	c=1 d=2.04134e-13 t=12715
bi mian 	避免	c=1 d=0.0265162 t=12715
bi ran 	必然	c=2 d=0.650509 t=12715
bi ru 	比如	c=8 d=0.0266491 t=12715
bi wo 	比我	c=1 d=9.85951e-11 t=12715
bi xu 	必須	c=9 d=1.00428 t=12715
bi xu shi 	必須是	c=2 d=0.302901 t=12715
bi xu yao 	必須要	c=1 d=5.4626e-05 t=12715
bi xuan 	必選	c=1 d=7.66745e-14 t=12715
bi xuan de 	必選的	c=1 d=6.33565e-14 t=12715
bi yao 	必要	c=2 d=0.776581 t=12715
bi ye 	畢業	c=1 d=1.81457e-10 t=12715
bian 	邊	c=1 d=5.38494e-13 t=12715
bian cheng 	編程	c=3 d=1.19237 t=12715
bian cheng 	變成	c=3 d=0.961618 t=12715
bian dong 	變動	c=1 d=1 t=11969
bian li 	便利	c=3 d=0.00275318 t=12715
bian li 	遍歷	c=1 d=1 t=11111
bian liang 	變量	c=3 d=0.30607 t=12715
bian xie 	編寫	c=0 d=0.0148822 t=12715
bian yi 	便宜	c=1 d=5.67279e-08 t=12715
bian yu 	便於	c=1 d=2.57457e-08 t=12715
biao 	表	c=5 d=0.324652 t=12715
biao ge 	表格	c=4 d=0.0987662 t=12715
biao ming 	表明	c=3 d=0.558899 t=12715
biao qing 	表情	c=1 d=1 t=9921
biao shi 	表示	c=3 d=0.00324708 t=12715
biao xian chu 	表現出	c=1 d=4.22357e-08 t=12715
biao zhun 	標準	c=1 d=2.61347e-08 t=12715
bie de 	別的	c=9 d=0.708069 t=12715
bie ren 	別人	c=5 d=1.35207e-07 t=12715
bing 	並	c=6 d=1.1996 t=12715
bing bu 	並不	c=0 d=0.000756797 t=12715
bing bu deng jia 	並不等價	c=1 d=0.00467746 t=12715
bing bu guan xin 	並不關心	c=1 d=1 t=10683
bing bu gui 	並不貴	c=1 d=2.00575e-12 t=12715
bing bu shi 	並不是	c=2 d=1.37428e-05 t=12715
bing bu suan 	並不算	c=1 d=0.535261 t=12715
bing bu zhi chi 	並不支持	c=1 d=0.00759701 t=12715
bing bu zhi dao 	並不知道	c=2 d=1.41143e-05 t=12715
bing mei yong 	並沒用	c=1 d=0.522046 t=12715
bing mei you 	並沒有	c=5 d=0.882617 t=12715
bing qie 	並且	c=3 d=0.770176 t=12715
bo ke 	博客	c=10 d=0.377766 t=12715
bo ming han 	伯明翰	c=1 d=1 t=11385
bo shi 	博士	c=2 d=1.00314 t=11470
bo wen 	博文	c=3 d=0.016185 t=12715
bu 	不	c=34 d=1.25933 t=12715
bu 	步	c=1 d=6.44475e-09 t=12715
bu 	部	c=2 d=1.06204 t=11173
bu bao 	不包	c=2 d=0.00321477 t=12715
bu cheng ren 	不承認	c=1 d=1 t=8964
bu chong 	補充	c=1 d=2.9835e-07 t=12715
bu cun 	不存	c=1 d=0.00900478 t=12715
bu cun zai 	不存在	c=3 d=1.00131 t=11090
bu cuo 	不錯	c=5 d=0.310367 t=12715
bu dao 	不到	c=2 d=8.91226e-08 t=12715
bu deng 	不等	c=1 d=3.32294e-10 t=12715
bu diao 	步調	c=1 d=1 t=11964
bu duan 	不斷	c=1 d=2.30043e-07 t=12715
bu dui 	不對	c=2 d=1.30844e-07 t=12715
bu er nuo 	布爾諾	c=0 d=1.84645e-10 t=12715
bu er nuo na ge 	布爾諾那個	c=1 d=1.85571e-09 t=12715
bu fang bian 	不方便	c=1 d=1.14216e-05 t=12715
bu fei 	不費	c=1 d=0.000528747 t=12715
bu fen 	部分	c=5 d=0.777713 t=12715
bu guan 	不管	c=3 d=0.024234 t=12715
bu guan xin 	不關心	c=0 d=0.1 t=10682
bu gui 	不貴	c=0 d=0.1 t=9400
bu guo 	不過	c=13 d=0.773228 t=12715
bu hao 	不好	c=4 d=0.239397 t=12715
bu hao shuo 	不好說	c=1 d=4.30963e-10 t=12715
bu hua suan 	不划算	c=1 d=5.74366e-07 t=12715
bu hui 	不回	c=2 d=3.83717e-10 t=12715
bu hui 	不會	c=9 d=0.511709 t=12715
bu ji 	不急	c=2 d=8.74013e-05 t=12715
bu jiang jiu 	不講究	c=1 d=1 t=9456
bu jiao 	不交	c=1 d=4.94529e-11 t=12715
bu jin 	不僅	c=2 d=0.00107014 t=12715
bu jiu 	不久	c=1 d=1 t=12093
bu kao lv 	不考慮	c=1 d=1 t=9511
bu ke 	不可	c=2 d=0.00455074 t=12715
bu ke neng 	不可能	c=4 d=0.000410634 t=12715
bu ke qi 	不客氣	c=1 d=0.540641 t=12715
bu ken 	不肯	c=1 d=1 t=11239
bu lai 	不來	c=1 d=8.13105e-08 t=12715
bu lai kan 	不來看	c=1 d=1 t=11377
bu lian 	不練	c=1 d=1.80025e-05 t=12715
bu man zu 	不滿足	c=1 d=1 t=11088
bu men 	部門	c=1 d=3.05903e-07 t=12715
bu neng 	不能	c=7 d=1.06568 t=12715
bu neng yong 	不能用	c=1 d=1.86501e-09 t=12715
bu qing chu 	不清楚	c=2 d=0.451581 t=12715
bu qu 	不去	c=1 d=1 t=11326
bu ran 	不然	c=8 d=0.259287 t=12715
bu ran de hua 	不然的話	c=3 d=0.0199405 t=12715
bu shao 	不少	c=2 d=1.51285e-11 t=12715
bu shi 	不是	c=35 d=0.88503 t=12715
bu shi de 	不是的	c=2 d=0.000439445 t=12715
bu shi ge 	不是個	c=1 d=4.97008e-11 t=12715
bu shu 	步數	c=4 d=0.176404 t=12715
bu shu 	部署	c=1 d=0.177284 t=12715
bu suan 	不算	c=1 d=0.0532592 t=12715
bu tong 	不同	c=5 d=0.22091 t=12715
bu wei 	不爲	c=1 d=0.00914086 t=12715
bu wei 	部位	c=1 d=0.56836 t=12715
bu xi guan 	不習慣	c=1 d=0.332871 t=12715
bu xi huan 	不喜歡	c=1 d=3.62526e-05 t=12715
bu xiang 	不想	c=3 d=0.71177 t=12715
bu xiao 	不笑	c=1 d=0.0102549 t=12715
bu xin ku 	不辛苦	c=1 d=1 t=9437
bu xing 	不行	c=3 d=6.80798e-07 t=12715
bu xu yao 	不需要	c=2 d=0.000488109 t=12715
bu yao 	不要	c=12 d=0.927586 t=12715
bu yao jin 	不要緊	c=6 d=1.7805 t=12715
bu yao zuo 	不要做	c=1 d=6.08514e-10 t=12715
bu yi ding 	不一定	c=3 d=1.19345e-07 t=12715
bu yi ding yao 	不一定要	c=1 d=3.40707e-10 t=12715
bu yi lai 	不以來	c=2 d=0.0584257 t=12715
bu yi yang 	不一樣	c=5 d=0.000850182 t=12715
bu yong 	不用	c=6 d=0.000556052 t=12715
bu yuan 	不願	c=1 d=5.22579e-13 t=12715
bu yuan yi 	不願意	c=2 d=0.000735471 t=12715
bu yun xu 	不允許	c=1 d=1 t=10292
bu zai 	不再	c=1 d=0.292293 t=12715
bu zai 	不在	c=2 d=0.618783 t=12715
bu zhi 	不止	c=1 d=1 t=10403
bu zhi dao 	不知道	c=16 d=0.554361 t=12715
bu zhou 	步驟	c=1 d=1 t=10044
bu zi 	步子	c=0 d=1.39889e-09 t=12715
bu zi hen da 	步子很大	c=1 d=1.4059e-08 t=12715
bu zou 	步驟	c=1 d=1 t=9585
bu zu yi 	不足以	c=1 d=0.0103063 t=12715
ca 	擦	c=1 d=0.0496585 t=12715
ca lei en da ren 	擦雷恩大人	c=1 d=0.499074 t=12715
ca qu 	擦去	c=1 d=0.000620491 t=12715
cai 	才	c=10 d=1.29672 t=12715
cai fa xian 	才發現	c=1 d=0.869358 t=12715
cai hong 	彩虹	c=4 d=0.0375151 t=12715
cai hong qiu 	彩虹球	c=1 d=0.373439 t=12715
cai jing 	財經	c=1 d=1.01615e-12 t=12715
cai liao 	材料	c=8 d=1.10506e-05 t=12715
cai neng 	才能	c=2 d=0.425283 t=12715
cai pu 	菜譜	c=1 d=1.93111e-07 t=12715
cai qu 	採取	c=2 d=0.0177375 t=12715
cai shi 	纔是	c=5 d=1.07939 t=12715
cai xing 	才行	c=5 d=0.158057 t=12715
cai yong 	採用	c=2 d=3.98654e-05 t=12715
cai you 	纔有	c=1 d=1 t=9647
cai zhi dao 	才知道	c=1 d=1 t=11554
can kao 	參考	c=2 d=0.00192083 t=12715
can shu 	參數	c=3 d=0.00538511 t=12715
cao zuo 	操作	c=6 d=0.0167489 t=12715
cdot 	⋅	c=1 d=0.00366107 t=12715
ce ping 	測評	c=2 d=3.43036e-09 t=12715
ce shi 	測試	c=3 d=0.179964 t=12715
ce suo 	廁所	c=1 d=4.58796e-11 t=12715
ceng 	層	c=1 d=1.10384 t=10657
ceng ci 	層次	c=6 d=4.96912e-07 t=12715
ceng ji 	層級	c=2 d=1.02692 t=10300
ceng jing 	曾經	c=2 d=1.42504e-10 t=12715
ceng mian 	層面	c=4 d=1.9952 t=10551
cha 	差	c=2 d=0.0119742 t=12715
cha 	查	c=7 d=1.10553 t=12715
cha bie 	差別	c=1 d=2.58835e-12 t=12715
cha bu duo 	差不多	c=15 d=0.00978717 t=12715
cha chong 	查衝	c=1 d=1 t=10359
cha duo 	查多	c=1 d=3.38892e-06 t=12715
cha jian 	插件	c=2 d=0.715541 t=12715
cha kan 	查看	c=3 d=0.019416 t=12715
cha yi 	差異	c=1 d=1 t=8997
cha zhao 	查找	c=1 d=0.00453922 t=12715
chai jie 	拆解	c=2 d=0.828427 t=12715
chan kan 	禪龕	c=1 d=0.00660453 t=12715
chan shu 	闡述	c=1 d=1 t=8947
chan yi 	蟬翼	c=1 d=1 t=8996
chang 	長	c=1 d=7.03347e-08 t=12715
chang shi 	嘗試	c=1 d=0.00150344 t=12715
chang xing 	長興	c=1 d=1.70507e-13 t=12715
chang yan 	暢言	c=3 d=4.62689e-09 t=12715
chang yong 	常用	c=3 d=0.261845 t=12715
chao 	超	c=3 d=0.579842 t=12715
chao cha 	超差	c=1 d=1.44897e-10 t=12715
chao da 	超大	c=3 d=3.08179e-06 t=12715
chao guo 	超過	c=2 d=0.362402 t=12715
chao shi 	超市	c=1 d=1 t=10174
chao yuan 	超遠	c=1 d=1.93079e-05 t=12715
che di 	徹底	c=1 d=1 t=11164
che xiao 	撤銷	c=2 d=1.0131 t=11616
chen 	晨	c=1 d=0.99005 t=12715
chen nian 	陳年	c=1 d=1.60523e-09 t=12715
chen shu 	陳述	c=3 d=0.803441 t=12715
chen zao 	趁早	c=1 d=5.56141e-10 t=12715
cheng 	城	c=0 d=5.30477e-14 t=12715
cheng 	成	c=6 d=0.174645 t=12715
cheng 	稱	c=3 d=5.17027e-05 t=12715
cheng 	誠	c=1 d=3.22364e-06 t=12715
cheng ben 	成本	c=1 d=6.8764e-07 t=12715
cheng dong 	城東	c=1 d=0.847894 t=12715
cheng ji 	成績	c=1 d=6.72513e-10 t=12715
cheng li 	成立	c=8 d=0.236928 t=12715
cheng ren 	承認	c=1 d=1 t=8967
cheng se 	橙色	c=1 d=0.000792752 t=12715
cheng shi 	城市	c=1 d=0.265803 t=12715
cheng ti 	稱體	c=0 d=0.0283654 t=12715
cheng ti zhong 	稱體重	c=1 d=0.285076 t=12715
cheng wei 	成爲	c=1 d=0.00860854 t=12715
cheng wei 	稱爲	c=2 d=0.276651 t=12715
cheng xian chu 	呈現出	c=1 d=7.33696e-05 t=12715
cheng xu 	程序	c=5 d=0.866387 t=12715
cheng xu yuan 	程序員	c=1 d=0.878095 t=12715
cheng zhi wei 	稱之爲	c=1 d=0.332871 t=12715
chi 	χ	c=4 d=1.37787 t=12715
chi 	吃	c=10 d=1.43249 t=12715
chi ba 	吃吧	c=0 d=0.0918512 t=12715
chi ba chi ba 	吃吧吃吧	c=1 d=0.923116 t=12715
chi bang ying 	翅膀硬	c=1 d=7.489e-11 t=12715
chi de 	吃得	c=1 d=0.88692 t=12715
chi fan 	吃飯	c=3 d=0.0497881 t=12715
chi ge 	吃個	c=2 d=1.46767 t=12224
chi wan 	吃完	c=3 d=8.01632e-07 t=12715
chi wu fan 	吃午飯	c=1 d=1 t=12204
chi xu 	持續	c=1 d=1 t=8922
chi yi ge 	吃一個	c=1 d=1 t=12118
chi zao fan 	吃早飯	c=1 d=1 t=10376
chong 	衝	c=2 d=1.93253e-05 t=12715
chong 	重	c=1 d=1 t=10360
chong fen 	充分	c=1 d=1 t=11055
chong fen xing 	充分性	c=1 d=1 t=11056
chong man 	充滿	c=1 d=0.000136389 t=12715
chong shu 	重述	c=2 d=0.00229472 t=12715
chong xin 	重新	c=4 d=0.778801 t=12715
chong zhi 	重置	c=1 d=1.53407e-05 t=12715
chou cha 	抽查	c=1 d=9.75974e-09 t=12715
chou wen 	醜聞	c=1 d=1.26948e-13 t=12715
chou xiang 	抽象	c=2 d=0.000706632 t=12715
chu 	出	c=11 d=0.631785 t=12715
chu 	初	c=4 d=0.00165327 t=12715
chu dong 	出動	c=1 d=1 t=11343
chu fa 	出發	c=3 d=0.084163 t=12715
chu fa 	觸發	c=2 d=2.30003e-05 t=12715
chu fang 	廚房	c=1 d=1.0471e-12 t=12715
chu guo 	出國	c=2 d=1.05208 t=12249
chu lai 	出來	c=9 d=0.847894 t=12715
chu le 	除了	c=3 d=4.4582e-08 t=12715
chu li 	處理	c=5 d=0.151419 t=12715
chu men 	出門	c=2 d=0.186566 t=12715
chu qian 	出錢	c=1 d=1 t=11449
chu qu 	出去	c=11 d=0.810584 t=12715
chu ru jing 	出入境	c=1 d=2.77461e-06 t=12715
chu xian 	出現	c=8 d=0.729675 t=12715
chu xing 	出行	c=3 d=0.782705 t=12715
chu yu 	處於	c=2 d=0.239555 t=12715
chu zai 	處在	c=4 d=0.503793 t=12715
chuan 	傳	c=2 d=9.70522e-09 t=12715
chuan 	穿	c=1 d=0.96079 t=12715
chuan dai 	穿戴	c=1 d=1.06495e-05 t=12715
chuan dao 	傳到	c=1 d=1.31425e-09 t=12715
chuan wen 	傳聞	c=1 d=1 t=9209
chuang 	創	c=1 d=1.52694e-09 t=12715
chuang qian ming yue guang 	牀前明月光	c=1 d=0.349938 t=12715
chuang ye 	創業	c=1 d=0.384812 t=12715
chuang zao xing 	創造性	c=2 d=0.346521 t=12715
chun cu 	春粗	c=1 d=1 t=9067
chun cui 	純粹	c=2 d=0.000662162 t=12715
chun wen ben 	純文本	c=1 d=0.140858 t=12715
chuo chuo you yu 	綽綽有餘	c=1 d=8.11275e-11 t=12715
ci 	次	c=2 d=0.00367942 t=12715
ci a shi 	次啊是	c=1 d=1.04945e-09 t=12715
ci dian 	詞典	c=3 d=0.0286881 t=12715
ci hui 	詞彙	c=1 d=1.10344e-11 t=12715
ci ku 	詞庫	c=8 d=2.58603 t=12715
cong 	從	c=21 d=1.35516 t=12715
cong er 	從而	c=2 d=0.489193 t=12715
cong mao pu tai er 	從貓撲胎兒	c=1 d=1 t=9146
cong shang 	從上	c=1 d=0.00215492 t=12715
cou 	湊	c=1 d=1 t=11817
cu 	粗	c=1 d=0.212248 t=12715
cu su 	粗俗	c=1 d=1 t=12650
cui 	催	c=1 d=1.01686 t=11729
cun 	存	c=2 d=0.414783 t=12715
cun dang 	存檔	c=2 d=0.990228 t=12715
cun dao 	存到	c=1 d=1 t=9884
cun kuan 	存款	c=1 d=0.585669 t=12715
cun xia 	存下	c=0 d=3.00519e-05 t=12715
cun xia lai 	存下來	c=1 d=0.000302026 t=12715
cun zai 	存在	c=8 d=1.28181 t=12715
cuo ci 	措辭	c=1 d=1 t=10738
cuo tuo 	蹉跎	c=1 d=0.17552 t=12715
cuo wu 	錯誤	c=3 d=1.80587 t=12715
da 	噠	c=2 d=0.00315111 t=12715
da 	大	c=7 d=0.321422 t=12715
da 	打	c=10 d=1.74673 t=12715
da bao 	打包	c=3 d=0.0365162 t=12715
da bu fen 	大部分	c=1 d=1 t=11565
da cheng 	大成	c=1 d=1 t=9385
da cheng 	達成	c=1 d=0.814648 t=12715
da chu 	打出	c=1 d=0.12493 t=12715
da dao 	達到	c=1 d=8.80818e-08 t=12715
da dian hua 	打電話	c=1 d=3.18495e-11 t=12715
da duo shu 	大多數	c=1 d=1.30747e-07 t=12715
da fa lao sao 	大發牢騷	c=0 d=1.42666e-05 t=12715
da fa shi 	大法師	c=0 d=0.0509487 t=12715
da gai 	大概	c=6 d=0.12494 t=12715
da gei 	打給	c=1 d=1 t=11889
da jia 	大家	c=2 d=0.394824 t=12715
da kai 	打開	c=8 d=0.321423 t=12715
da li 	打理	c=1 d=1.64587e-09 t=12715
da ren 	大人	c=0 d=0.0496585 t=12715
da shi 	大師	c=1 d=1 t=10373
da wen ke 	大文科	c=2 d=7.34693e-12 t=12715
da xie 	大寫	c=0 d=0.00065062 t=12715
da xie jian pan 	大寫鍵盤	c=1 d=0.00653881 t=12715
da xue 	大學	c=6 d=0.70844 t=12715
da xue 	大雪	c=1 d=0.00559994 t=12715
da yi 	大一	c=0 d=4.7975e-08 t=12715
da yi dian 	大一點	c=1 d=4.82155e-07 t=12715
da yin 	打印	c=10 d=3.33644 t=12715
da yin dian 	打銀店	c=1 d=1 t=12631
da yin ji 	打印機	c=1 d=1 t=10734
da ying 	大英	c=1 d=1.34798e-13 t=12715
da zhi 	大致	c=1 d=3.33903e-08 t=12715
da zhi shang 	大致上	c=1 d=0.121846 t=12715
da zi 	打字	c=1 d=0.160414 t=12715
dai 	呆	c=4 d=0.133335 t=12505
dai 	帶	c=8 d=0.00909555 t=12715
dai 	待	c=2 d=0.399682 t=12715
dai 	袋	c=1 d=9.46969e-07 t=12715
dai dai 	帶帶	c=1 d=8.07228e-11 t=12715
dai dui 	帶隊	c=1 d=1 t=10441
dai fu 	代付	c=1 d=0.0655462 t=12715
dai gou 	代購	c=1 d=0.00484407 t=12715
dai guo 	呆過	c=1 d=0.628135 t=12715
dai guo qu 	帶過去	c=1 d=0.398519 t=12715
dai le 	帶了	c=1 d=2.11844e-08 t=12715
dai le 	待了	c=1 d=2.10788e-08 t=12715
dai ma 	代碼	c=1 d=0.537944 t=12715
dai tu di 	帶徒弟	c=1 d=6.51063e-11 t=12715
dai wo men 	呆我們	c=1 d=1 t=12506
dai zai 	呆在	c=1 d=1 t=11229
dai zhe 	帶着	c=1 d=1 t=12286
dai zi 	帶子	c=1 d=8.17034e-06 t=12715
dan 	但	c=1 d=1.21886e-07 t=12715
dan bai 	蛋白	c=0 d=2.87393e-09 t=12715
dan bai fen 	蛋白粉	c=14 d=0.665904 t=12715
dan du 	單獨	c=2 d=3.36855e-12 t=12715
dan gao 	蛋糕	c=1 d=2.85221e-07 t=12715
dan ge 	單個	c=0 d=3.47589e-11 t=12715
dan ge ren 	單個人	c=1 d=3.49331e-10 t=12715
dan hao si 	但好似	c=1 d=5.36921e-08 t=12715
dan mian 	單面	c=1 d=0.000110003 t=12715
dan na shi 	但那是	c=1 d=1 t=12407
dan shi 	但是	c=41 d=0.931995 t=12715
dan yi 	單一	c=1 d=1.23729e-05 t=12715
dan zi 	單子	c=1 d=1 t=9833
dang 	當	c=18 d=1.04987 t=12715
dang ci 	檔次	c=1 d=0.895834 t=12715
dang ran 	當然	c=9 d=0.0526047 t=12715
dang shi 	當時	c=1 d=1.63004e-13 t=12715
dang tian 	當天	c=2 d=1.98511 t=10476
dao 	到	c=49 d=1.27569 t=12715
dao 	道	c=2 d=0.0218001 t=12715
dao chu 	導出	c=3 d=0.867128 t=12715
dao di 	到底	c=1 d=1.46353e-10 t=12715
dao fu 	到付	c=1 d=9.47129e-09 t=12715
dao li 	道理	c=1 d=0.00995182 t=12715
dao shi 	倒是	c=1 d=0.189191 t=12715
dao shi hou 	到時候	c=11 d=1.01089 t=12715
dao xiang 	導向	c=2 d=4.74896e-05 t=12715
dao zhi 	導致	c=1 d=0.634448 t=12715
de 	地	c=3 d=3.80477e-07 t=12715
de 	的	c=887 d=15.1763 t=12715
de ba 	的吧	c=2 d=5.759e-12 t=12715
de chu 	得出	c=8 d=0.783129 t=12715
de chu de 	得出的	c=1 d=0.0380064 t=12715
de dao 	得到	c=7 d=0.15194 t=12715
de guan jian 	的關鍵	c=1 d=1 t=9641
de guo 	得過	c=1 d=0.697676 t=12715
de ha 	的哈	c=1 d=1.6419e-10 t=12715
de hu 	的胡	c=1 d=0.429557 t=12715
de hua 	的話	c=31 d=1.46652 t=12715
de ne 	的呢	c=1 d=2.0772e-12 t=12715
de neg jia 	的¬家	c=1 d=1 t=10030
de ren 	的人	c=1 d=0.050409 t=12715
de shi hou 	的時候	c=1 d=1.19845e-12 t=12715
dei 	得	c=1 d=1 t=9678
dei yao 	得要	c=1 d=1.9321e-13 t=12715
deng 	燈	c=3 d=0.00013527 t=12715
deng 	等	c=6 d=0.440935 t=12715
deng bu dao 	等不到	c=1 d=1 t=11345
deng dai 	等待	c=1 d=1 t=10138
deng deng 	等等	c=2 d=0.00697795 t=12715
